(0) Index,(1) INDICATOR (n),"(2) INDICATOR QUALITY (3) (g, y, r)",(3) DATASETS AVAILABLE (Hyperlink),"(4) PBSB CATEGORY (5) ((1, 2, 3, 4, 5))",(5) WB CATEGORY (Theme),"(6) INDICATOR TYPE (2) (SbPb, Ops)",(7) INDICATOR COUNTRY (or region)(n=129 (incl 7 regions) (193),(8) INDICATOR SOURCE,(9) COMMENTS (n),(10) Notes,,,,,,,
919,Teachers recruited into education system (number),, Hiring Teaching Staff,5,Education,,n/a,WB, Improved Access (Enrollment), Results Chain: Secondary Education Sector,,Core Sector Indicator AFR,,,,,
920,Teachers trained in-service (number),, Training of Teaching Staff,5,Education,,n/a,WB, Improved Quality, Results Chain: Secondary Education Sector,,Core Sector Indicator AFR,,,,,
921,Teachers trained pre-service (number),, Training of Teaching Staff,5,Education,,n/a,WB, Improved Quality, Results Chain: Secondary Education Sector,,,,,,,
922,Teaching staff trained in pedagogy-teaching methods (number).,, Training in Pedagogy-Teaching Methods,5,Education,,n/a,WB, Improved Quality, Results Chain: Secondary Education Sector,,,,,,,
923,Technologies demonstrated in the project areas (number),, Agriculture extension & research,4,Agriculture extension & research,,n/a,WB, Core Sector Indicators,,,,,,,,
924,Text books purchased and/or distributed (number) ,, Learning Materials Purchase/Installation/Distribution,5,Education,,n/a,WB, Improved Quality, Results Chain: Secondary Education Sector,,Core Sector Indicator AFR,,,,,
925,The level of unreported extra-budgetary expenditure as % of total expenditure (PI-7.),, Improved alignment of expenditure with budget allocation,5,Public sector governance,,n/a,WB, Budget Credibility, Results Chain: Public Financial Management,,,,,,,
926,Time allowed for the legislature to provide a response to budget proposals (PI-27),, Adequate Legislative Scrutiny,5,Public sector governance,,n/a,WB,  Improved Accountability, Results Chain: Public Financial Management,,,,,,,
927,Time taken to produce the external audit report,, Improved internal and external audit,5,Public sector governance,,n/a,WB,  Improved Accountability, Results Chain: Public Financial Management,,,,,,,
928,Time to dispose of cases,, Increasing Courts' Efficiency,3,Rule of law,,n/a,WB, Results Chain: Judicial and Legal Sector Reform,,,,,,,,
929,Time to locate files,,,3,Rule of law,,n/a,"WB; Improve filing system to eliminate ""lost"" files; Results Chain: Judicial and Legal Sector Reform",,,,,,,,,
930,Timeliness of disbursements (tbd),, Improved access to financial services,4,Financial and private sector development,,n/a,WB, Quality of Service, Results Chain: Financial Services,,,,,,,
931,Toolkits distributed (number),, Learning Materials Purchase/Installation/Distribution,5,Education,,n/a,WB, Improved Quality, Results Chain: Secondary Education Sector,,,,,,,
932,Tools (software and equipment) to monitor internal and external debt developed,, Develop tools to monitor internal and external debt,5,Public sector governance,,n/a,WB,  Budget Credibility, Results Chain: Public Financial Management,,,,,,,
933,"Tools/Equipment of internal audit units (systems, audit mission planning and implementation, MOP, etc) developed",, Develop Tools/Equipment of internal audit units,5,Public sector governance,,n/a,WB, Results Chain: Public Financial Management,,,,,,,,
934,"Tools/Equipment of members of Parliament to supervise budget and financial operations (ICT, MOP, etc)",, Develop Tools/Equipment for members of Parliament to supervise budget and financial operations,5,Public sector governance,,n/a,WB,  Improved Accountability, Results Chain: Public Financial Management,,,,,,,
935,"Tools/Equipment of Supreme Audit Institutions (systems, audit mission planning and implementation, MOP, etc) developed",, Develop Tools/Equipment of Supreme Audit institutions,5,Public sector governance,,n/a,WB,  Improved Accountability, Results Chain: Public Financial Management,,,,,,,
936,Total fertility rate among 15-49 year old women (per live births).,, Impropved health outcomes,5,Health and other social services,,n/a,WB, Population, Results Chain: HNP,,,,,,,
937,Total number of condoms purchased and/or distributed (number),, Health,5,Health,,n/a,WB, Core Sector Indicators,,,,,,,,
938,Total revenues derived from commercial activities (LCU),, Improved operational and financial management of port,4,Transportation,,n/a,WB, Financial, Institutional Development of Operators/Service Providers, Results Chain: Ports,,,,,,
939,Traffic control center established (yes / no),, Develop traffic management and control  capacity,4,Transportation,,n/a,WB, Urban Transport and Traffic System Development, Results Chain: Urban Transport and Mobility,,,,,,,
940,Traffic exceeding posted speed limits (%),, Improved road safety behavior,4,Transportation,,n/a,WB, Urban Transport and Traffic System Development, Results Chain: Urban Transport and Mobility,,,,,,,
941,Traffic Lighting and Signal system constructed/rehabilitated  (number),, Construct/ rehabilitate traffic and transport system and infrastructure,4,Transportation,,n/a,WB, Urban Transport and Traffic System Development, Results Chain: Urban Transport and Mobility,,,,,,,
942,Traffic management units created (number),, Develop traffic management and control  capacity,4,Transportation,,n/a,WB, Urban Transport and Traffic System Development, Results Chain: Urban Transport and Mobility,,,,,,,
943,Trained government officials on needs and right of ex-combatants (number) ,, Mainstream ex-combatants into existing safety nets,2,Security,,n/a,WB, Results Chain: DDR - Demobilization and Reintegration,,,,,,,,
944,Trained personnel for psycho-social support (number,, Medical treatment for ill or disabled people associated with armed forces,2,Security,,n/a,WB, Results Chain: DDR - Demobilization and Reintegration,,,,,,,,
945,Trained police (number),, Develop traffic management and control  capacity,4,Transportation,,n/a,WB, Urban Transport and Traffic System Development, Results Chain: Urban Transport and Mobility,,,,,,,
946,Trainers trained on road safety  (number),, Raise awareness  about road safety issues,4,Transportation,,n/a,WB, Urban Transport and Traffic System Development, Results Chain: Urban Transport and Mobility,,,,,,,
947,Training facilities that are in place and operating (number),, Life skills training for Ex-combatants,2,Security,,n/a,WB, Results Chain: DDR - Demobilization and Reintegration,,,,,,,,
948,Training program developed (yes/no),, Strengthen financial literacy of stakeholders,4,Financial and private sector development,,n/a,WB, Demand for Microfinance Service, Results Chain: Financial Services,,,,,,,
949,Transaction costs (LCU),, Improved access to financial services,4,Financial and private sector development,,n/a,WB, Cost of Service, Results Chain: Financial Services,,,,,,,
950,"Transmission and distribution lines  constructed or rehabilitated under the project (km) Supplemental information - breakdown by: transmission lines constructed , transmission lines rehabilitated , distribution lines constructed , and distribution lines rehabilitated",, Construct/rehabilitate (components of) transmission and distribution networks,4,Energy and mining,,n/a,WB,  Physical Infrastructure, Results Chain: Energy Sector,,Core Sector Indicator,,,,,
951,Transmission capacity (kVA),,,4,Energy and mining,,n/a,"WB; Improved  transmission  and distribution capacity, efficiency , and reliability;  Physical Infrastructure; Results Chain: Energy Sector",,,,,,,,,
952,Transmission capacity (kVA),,,4,Energy and mining,,n/a,"WB; Improved  transmission  and distribution capacity, efficiency , and reliability;  Physical Infrastructure; Results Chain: Energy Sector",,,,,,,,,
953,Transmission lines constructed or rehabilitated under the project (km),, Transmission and distribution of electricity,4,Transmission and distribution of electricity,,n/a,WB, Core Sector Indicators,,,,,,,,
954,Transmission losses per year (%),,,4,Energy and mining,,n/a,"WB; Improved  transmission  and distribution capacity, efficiency , and reliability;  Physical Infrastructure; Results Chain: Energy Sector",,,,,,,,,
955,Transmission losses per year (%),,,4,Energy and mining,,n/a,"WB; Improved  transmission  and distribution capacity, efficiency , and reliability;  Physical Infrastructure; Results Chain: Energy Sector",,,,,,,,,
956,Transmission network responds to (N-1) criteria (yes/no),,,4,Energy and mining,,n/a,"WB; Improved  transmission  and distribution capacity, efficiency , and reliability;  Physical Infrastructure; Results Chain: Energy Sector",,,,,,,,,
957,Transmission network responds to (N-1) criteria (yes/no),,,4,Energy and mining,,n/a,"WB; Improved  transmission  and distribution capacity, efficiency , and reliability;  Physical Infrastructure; Results Chain: Energy Sector",,,,,,,,,
958,Transmission/generation companies unbundled (yes/no),, Appropriate institutional structure for the sector (incl. private sector participation),4,Energy and mining,,n/a,WB, Institutional Development of sector ministries, Results Chain: Energy Sector,,,,,,,
959,Transport arrangements from conflict area to the Demobilization Centers in place (yes/ no),, Establish Demobilization Structure,2,Security,,n/a,WB, Results Chain: DDR - Demobilization and Reintegration,,,,,,,,
960,"Transport expenditures by households (%, LCU) ",, Improved public transport services,4,Transportation,,n/a,WB, Affordability, Public Transport Development, Results Chain: Urban Transport and Mobility,,,,,,
961,Transport Master Plan adopted (yes/ no),, Improved planning and management of urban transport systems,4,Transportation,,n/a,WB, Urban Transport Management, Results Chain: Urban Transport and Mobility,,,,,,,
962,Transport Master Plan includes environmental aspects/ elements (yes/ no),, Improved planning and management of urban transport systems,4,Transportation,,n/a,WB, Urban Transport Management, Results Chain: Urban Transport and Mobility,,,,,,,
963,Transport Master Plan is embedded in Urban Development Plan (yes/ no),, Improved planning and management of urban transport systems,4,Transportation,,n/a,WB, Urban Transport Management, Results Chain: Urban Transport and Mobility,,,,,,,
964,Transport Master Plan prepared  (yes/ no),,,4,Transportation,,n/a,"WB; Develop sector policy making, regulatory and planning capacity; Urban Transport Management; Results Chain: Urban Transport and Mobility",,,,,,,,,
965,Turnover on the bench (judges who leave for whatever reason),, Strengthen security of judicial tenure,3,Rule of law,,n/a,WB, Results Chain: Judicial and Legal Sector Reform,,,,,,,,
966,"Under 5 mortality rate (per 1,000). [MDG]",, Impropved health outcomes,5,Health and other social services,,n/a,WB, Child Health, Results Chain: HNP,,,,,,,
967,Unmet need for family planning (%). [MDG],, Improved coverage of high impact interventions and utilization  of essential services,5,Health and other social services,,n/a,WB, Population, Results Chain: HNP,,,,,,,
968,Upgraded junctions (number),, Construct/ rehabilitate traffic and transport system and infrastructure,4,Transportation,,n/a,WB, Urban Transport and Traffic System Development, Results Chain: Urban Transport and Mobility,,,,,,,
969,Urban road network with bike paths (%),, Improved urban traffic and transport system,4,Transportation,,n/a,WB, Urban Transport and Traffic System Development, Results Chain: Urban Transport and Mobility,,,,,,,
970,Urban road network with sidewalks (%),, Improved urban traffic and transport system,4,Transportation,,n/a,WB, Urban Transport and Traffic System Development, Results Chain: Urban Transport and Mobility,,,,,,,
971,Urban transport management unit established and operational  (yes/ no),,,4,Transportation,,n/a,"WB; Develop sector policy making, regulatory and planning capacity; Urban Transport Management; Results Chain: Urban Transport and Mobility",,,,,,,,,
972,Urban transport policy adopted (yes/ no),, Improved planning and management of urban transport systems,4,Transportation,,n/a,WB, Urban Transport Management, Results Chain: Urban Transport and Mobility,,,,,,,
973,Urban transport policy prepared (yes/ no),,,4,Transportation,,n/a,"WB; Develop sector policy making, regulatory and planning capacity; Urban Transport Management; Results Chain: Urban Transport and Mobility",,,,,,,,,
974,Use of courts by targeted marginalized groups,, Expanded Access to Justice,3,Rule of law,,n/a,WB, Results Chain: Judicial and Legal Sector Reform,,,,,,,,
975,User perception of quality of public services (%),,,5,"Information, communications and technology (ICT)",,n/a,"WB; BM: Public administration, information and communications; Information, communications and technology (ICT); Core Sector Indicators",,,,,,,,,
976,User satisfaction with public transport services (%),, Improved public transport services,4,Transportation,,n/a,WB, Quality of Service, Public Transport Development, Results Chain: Urban Transport and Mobility,,,,,,
977,Users satisfied with quality of services provided at health facilities (%). ,, Improved Quality and Efficiency,5,Health and other social services,,n/a,WB, Accountability and Institutional Capacity, Results Chain: HNP,,,,,,,
978,Utilities that are aware of the cost-recovery principles set out in the WSS sector's financial policy (%),, Effective sector regulation,5,"Water, sanitation and flood protection",,n/a,WB, Regulatory framework, Results Chain: Water Supply,,,,,,,
979,Utilities/service provider business plans and investment strategies developed (number),, Develop management capacity of WSS Utilities/Service Providers,5,"Water, sanitation and flood protection",,n/a,WB, Institutional development of utilities/service providers, Results Chain: Water Supply,,,,,,,
980,Utility/operator business plan and investment strategy developed (yes/no),, Develop management capacity and systems of utilities/operators,4,Energy and mining,,n/a,WB, Institutional Development of Utilities/Operators, Results Chain: Energy Sector,,,,,,,
981,"Variation in outcomes based on review of random sample of common cases (debt collection, child support, damage awards in traffic accidents)",, Increased uniformity in judgments (i.e. like cases get like responses),3,Rule of law,,n/a,WB, Results Chain: Judicial and Legal Sector Reform,,,,,,,,
982,VCT sites established (number),, Improved Availability of Infrastructure,5,Health and other social services,,n/a,WB, Infrastructure, Results Chain: HNP,,,,,,,
983,"Vehicles/ambulances procured (number and US$, LCU).",, Constructing/Rehabilitating Health Facility Buildings,5,Health and other social services,,n/a,WB, Infrastructure, Results Chain: HNP,,,,,,,
984,Vessel port dwell time (standard 20-foot TEU)(Days),, Increased port capacity and efficiency,4,Transportation,,n/a,WB, Efficiency, Results Chain: Ports,,,,,,,
985,Vitamin A coverage in children under five (%).,, Improved coverage of high impact interventions and utilization  of essential services,5,Health and other social services,,n/a,WB, Nutrition, Results Chain: HNP,,,,,,,
986,Volume (mass) of BOD pollution loads removed by the treatment plant supported under the project (tons/year),, Wastewater collection and transportation,5,Wastewater treatment and disposal,,n/a,WB, Core Sector Indicators,,,,,,,,
987,Volume (mass) of COD pollution load reduction achieved under the project (tons/year),, Pollution management and environmental health,4,Pollution management and environmental health,,n/a,WB, Core Sector Indicators,,,,,,,,
988,Volume of Bank Funding: Enabling Environment ? Microfinance (amount US$),, Volume of Bank funding for MSME finance,4,Micro- and small/medium enterprise finance (MSME),,n/a,WB, Micro- and small/medium enterprise finance (MSME), Core Sector Indicators,,,,,,,
989,Volume of Bank Funding: Enabling Environment ? SME (amount US$),, Volume of Bank funding for MSME finance,4,Micro- and small/medium enterprise finance (MSME),,n/a,WB, Micro- and small/medium enterprise finance (MSME), Core Sector Indicators,,,,,,,
990,Volume of Bank Funding: Institutional Development - Microfinance (amount US$),, Volume of Bank funding for MSME finance,4,Micro- and small/medium enterprise finance (MSME),,n/a,WB, Micro- and small/medium enterprise finance (MSME), Core Sector Indicators,,,,,,,
991,Volume of Bank Funding: Institutional Development ? SME (amount US$),, Volume of Bank funding for MSME finance,4,Micro- and small/medium enterprise finance (MSME),,n/a,WB, Micro- and small/medium enterprise finance (MSME), Core Sector Indicators,,,,,,,
992,Volume of Bank Funding: Lines of Credit - Microfinance (amount US$),, Volume of Bank funding for MSME finance,4,Micro- and small/medium enterprise finance (MSME),,n/a,WB, Micro- and small/medium enterprise finance (MSME), Core Sector Indicators,,,,,,,
993,Volume of Bank Funding: Lines of Credit - SME (amount US$),, Volume of Bank funding for MSME finance,4,Micro- and small/medium enterprise finance (MSME),,n/a,WB, Micro- and small/medium enterprise finance (MSME), Core Sector Indicators,,,,,,,
994,Voucher mechanism in place for improved maternal and child health service utilization.,, Establish Incentive Programs for Behavior  Change,5,Health and other social services,,n/a,WB, Behaviour Change, Results Chain: HNP,,,,,,,
995,"Vulnerable and marginalized beneficiary population who participate in non-project consultations and
decision making forums (percentage)",, Social inclusion,1,Social inclusion,,n/a,WB, Core Sector Indicators,,,,,,,,
996,"Vulnerable and marginalized people in the project area that are aware of project investments and benefits
(percentage)",, Social inclusion,1,Social inclusion,,n/a,WB, Core Sector Indicators,,,,,,,,
997,Vulnerable strutures identified,, Implement disaster prevention projects,5,Social protection and risk management,,n/a,WB, Results Chain: Disaster Risk and Climate Change Management,,,,,,,,
998,Wage bill /GDP ratio (AGI),, Improved sustainability of Wage Bill,5,Public sector governance,,n/a,WB, Human Resource Management, Results Chain: Public Service & Administrative Reform,,,,,,,
999,Wage bill arrears (? 60 days in arrears) ,, Improved sustainability of Wage Bill,5,Public sector governance,,n/a,WB, Human Resource Management, Results Chain: Public Service & Administrative Reform,,,,,,,
1000,Wage Bill/total Expenditure (AGI),, Improved sustainability of Wage Bill,5,Public sector governance,,n/a,WB, Human Resource Management, Results Chain: Public Service & Administrative Reform,,,,,,,
1001,Waiting time from application to connection installed (days),, Improved customer services orientation of Water Supply and Sanitation Utilities/Service Providers,5,"Water, sanitation and flood protection",,n/a,WB, Institutional development of utilities/service providers, Results Chain: Water Supply,,,,,,,
1002,Waiting time from application to electricity connection installed  (urban/peri-urban areas) (days),, Improved customer service orientation of utilities/operators,4,Energy and mining,,n/a,WB, Institutional Development of Utilities/Operators, Results Chain: Energy Sector,,,,,,,
1003,Waiting time to enter skills training program (average months),, Life skills training for Ex-combatants,2,Security,,n/a,WB, Results Chain: DDR - Demobilization and Reintegration,,,,,,,,
1004,Water production (m3 per day) - breakdown by provider,, Increased water production capacity,5,"Water, sanitation and flood protection",,n/a,WB, Physical infrastructure, Results Chain: Water Supply,,,,,,,
1005,Water systems constructed/rehabilitated (number) ,, Construct/rehabilitate water systems and water treatment plants,5,"Water, sanitation and flood protection",,n/a,WB, Physical infrastructure, Results Chain: Water Supply,,,,,,,
1006,Water treatment plants constructed/rehabilitated (number and m3/day),, Construct/rehabilitate water systems and water treatment plants,5,"Water, sanitation and flood protection",,n/a,WB, Physical infrastructure, Results Chain: Water Supply,,,,,,,
1007,Water users provided with new/improved irrigation and drainage services (number),, Irrigation and drainage,4,Irrigation and drainage,,n/a,WB, Core Sector Indicators,,,,,,,,
1008,Water utilities that the project is supporting (number),, Water supply,5,Water supply,,n/a,WB, Core Sector Indicators,,,,,,,,
1009,Water Utilities the project is supporting (number) ,, Improved operational and financial performance of WSS Utilities/Service Providers,5,"Water, sanitation and flood protection",,n/a,WB, Financial, Institutional development of utilities/service providers, Results Chain: Water Supply,,Core Sector Indicator,,,,
1010,Women who know at least 3 modern contraceptive methods (%).,, Improved Household and Individual Knowledge,5,Health and other social services,,n/a,WB, Behaviour Change, Results Chain: HNP,,,,,,,
1011,Women who know correct method of treating diarrhea (oral rehydration solution or recommended home fluids) (%).,, Improved Household and Individual Knowledge,5,Health and other social services,,n/a,WB, Behaviour Change, Results Chain: HNP,,,,,,,
1012,Women who received complete course of intermittent preventive treatment for malaria during their last pregnancy (%).,, Improved coverage of high impact interventions and utilization  of essential services,5,Health and other social services,,n/a,WB, Malaria, Results Chain: HNP,,,,,,,
1013,Working space per student (average floor area),, Adequate Infrastructure and Facilities,5,Education,,n/a,WB, Improved Quality, Results Chain: Secondary Education Sector,,,,,,,
1014,Workplaces with HIV/AIDS programs (number).,, Improved Management and Institutional Capacity,5,Health and other social services,,n/a,WB, Accountability and Institutional Capacity, Results Chain: HNP,,,,,,,
1015,WSS investment plans developed (yes/no),, Develop capacity to plan and manage sector,5,"Water, sanitation and flood protection",,n/a,WB, Institutional development of sector ministries, Results Chain: Water Supply,,,,,,,
1016,WSS policies prepared (yes/no),, Develop capacity to plan and manage sector,5,"Water, sanitation and flood protection",,n/a,WB, Institutional development of sector ministries, Results Chain: Water Supply,,,,,,,
1017,WSS sector strategies/policies adopted (yes/no),, Improved policies and planning,5,"Water, sanitation and flood protection",,n/a,WB, Institutional development of sector ministries, Results Chain: Water Supply,,,,,,,
1018,WSS sector strategy prepared (yes/no),, Develop capacity to plan and manage sector,5,"Water, sanitation and flood protection",,n/a,WB, Institutional development of sector ministries, Results Chain: Water Supply,,,,,,,
1019,Young adults (15-24 years) reporting sex with more than one concurrent partner in last 12 months (%). [UNGASS],, Improved coverage of high impact interventions and utilization  of essential services,5,Health and other social services,,n/a,WB, HIV/AIDS, Results Chain: HNP,,,,,,,
1020,Young women and men aged 15-24 who have had sexual intercourse before the age of 15 (%).,, Improved coverage of high impact interventions and utilization  of essential services,5,Health and other social services,,n/a,WB, HIV/AIDS, Results Chain: HNP,,,,,,,
1021,Locomotives/wagons rehabilitated/maintained (number),,,4,Transportation,,n/a,WB; Rehabilitate/ maintain locomotives/ wagons; Physical Infrastructure and Equipment; Results chain: Rails,,,,,,,,,
1022,Cargo loading infrastructure constructed/rehabilitated,, Rehabilitate/ maintain locomotives/ wagons,4,Transportation,,n/a,WB, Physical Infrastructure and Equipment, Results chain: Rails,,,,,,,
1023,Spare parts procured (LCU),, Rehabilitate/ maintain locomotives/ wagons,4,Transportation,,n/a,WB, Physical Infrastructure and Equipment, Results chain: Rails,,,,,,,
1024,Locomotives/ wagons in good conditions (%),, Improved condition of locomotives/ wagons,4,Transportation,,n/a,WB, Physical Infrastructure and Equipment, Results chain: Rails,,,,,,,
1025,Locomotive availability (%),,,4,Transportation,,n/a,WB; Improved condition of locomotives/ wagons; Physical Infrastructure and Equipment; Results chain: Rails,,,,,,,,,
1026,Wagon availability (%),, Improved condition of locomotives/ wagons,4,Transportation,,n/a,WB, Physical Infrastructure and Equipment, Results chain: Rails,,,,,,,
1027,"Frequency of locomotive failure (number of breakdowns per 10,000 kms)",, Improved condition of locomotives/ wagons,4,Transportation,,n/a,WB, Physical Infrastructure and Equipment, Results chain: Rails,,,,,,,
1028,Railway tracks constructed (km),, Construct and rehabilitate tracks,4,Transportation,,n/a,WB, Physical Infrastructure and Equipment, Results chain: Rails,,,,,,,
1029,Railway tracks rehabilitated (km),, Construct and rehabilitate tracks,4,Transportation,,n/a,WB, Physical Infrastructure and Equipment, Results chain: Rails,,,,,,,
1030,Railway tracks maintained (km),, Maintain tracks,4,Transportation,,n/a,WB, Physical Infrastructure and Equipment, Results chain: Rails,,,,,,,
1031,Signals installed (number),, Upgrade signaling equipment,4,Transportation,,n/a,WB, Physical Infrastructure and Equipment, Results chain: Rails,,,,,,,
1032,"Railway tracks in good conditions (km, %) ",, Improved railway network,4,Transportation,,n/a,WB, Physical Infrastructure and Equipment, Results chain: Rails,,,,,,,
1033,"Length of tracks with temporary restrictions (km, %)",, Improved railway network,4,Transportation,,n/a,WB, Physical Infrastructure and Equipment, Results chain: Rails,,,,,,,
1034,Average length of slowdown in effect for more than X days (kms),,,4,Transportation,,n/a,WB; Improved railway network; Physical Infrastructure and Equipment; Results chain: Rails,,,,,,,,,
1035,Derailments per month (number),, Improved railway network,4,Transportation,,n/a,WB, Physical Infrastructure and Equipment, Results chain: Rails,,,,,,,
1036,Total length of the railway network (km),, Improved railway network,4,Transportation,,n/a,WB, Physical Infrastructure and Equipment, Results chain: Rails,,,,,,,
1037,Operating agency business plans and investment strategies developed (yes no),, Develop railway management capacity ,4,Transportation,,n/a,WB,Institutional Development of Railway Operators, Results chain: Rails,,,,,,,
1038,Traffic Operating and Reporting Control system established ( yes no),, Develop railway management capacity ,4,Transportation,,n/a,WB,Institutional Development of Railway Operators, Results chain: Rails,,,,,,,
1039,Maintenance Program developed (yes no),, Develop railway management capacity ,4,Transportation,,n/a,WB,Institutional Development of Railway Operators, Results chain: Rails,,,,,,,
1040,Accounting and FM system in place (yes no),, Develop railway management capacity ,4,Transportation,,n/a,WB,Institutional Development of Railway Operators, Results chain: Rails,,,,,,,
1041,Management information system established (yes no),, Develop railway management capacity ,4,Transportation,,n/a,WB,Institutional Development of Railway Operators, Results chain: Rails,,,,,,,
1042,Staff trained in [specific topics] (number),, Develop railway management capacity ,4,Transportation,,n/a,WB,Institutional Development of Railway Operators, Results chain: Rails,,,,,,,
1043,Social and compensation plan for staff developed (yes no),, Develop railway management capacity ,4,Transportation,,n/a,WB,Institutional Development of Railway Operators, Results chain: Rails,,,,,,,
1044,Average distance traveled by each locomotive/wagon (km / year),, Improved operational and financial performance of railway operators,4,Transportation,,n/a,WB, Institutional Development of Railway Operators, Results chain: Rails,,,,,,,
1045,Wagon turnaround time (days),, Improved operational and financial performance of railway operators,4,Transportation,,n/a,WB, Institutional Development of Railway Operators, Results chain: Rails,,,,,,,
1046,Locomotive idle time (days),, Improved operational and financial performance of railway operators,4,Transportation,,n/a,WB, Institutional Development of Railway Operators, Results chain: Rails,,,,,,,
1047,Railway maintenance budget / total maintenance needs (%) ,, Improved operational and financial performance of railway operators,4,Transportation,,n/a,WB, Institutional Development of Railway Operators, Results chain: Rails,,,,,,,
1048,Maintenance work (in value terms) contracted on a competitive basis to private contractors (%),, Improved operational and financial performance of railway operators,4,Transportation,,n/a,WB, Institutional Development of Railway Operators, Results chain: Rails,,,,,,,
1049,Performance contract targets met by operator (yes / no),, Improved operational and financial performance of railway operators,4,Transportation,,n/a,WB, Institutional Development of Railway Operators, Results chain: Rails,,,,,,,
1050,Annual traffic units carried per employee (number),, Improved operational and financial performance of railway operators,4,Transportation,,n/a,WB, Institutional Development of Railway Operators, Results chain: Rails,,,,,,,
1051, Retrenched/ redeployed staff (% of target),, Improved operational and financial performance of railway operators,4,Transportation,,n/a,WB, Institutional Development of Railway Operators, Results chain: Rails,,,,,,,
1052,Operating cost recovery (%),, Improved operational and financial performance of railway operators,4,Transportation,,n/a,WB, Institutional Development of Railway Operators, Results chain: Rails,,,,,,,
1053,"Annual financial statements produced, audited and disseminated (Yes/No)",, Improved operational and financial performance of railway operators,4,Transportation,,n/a,WB, Institutional Development of Railway Operators, Results chain: Rails,,,,,,,
1054,Transfers from Government to operator/ concessionaire (LCU),, Improved operational and financial performance of railway operators,4,Transportation,,n/a,WB, Institutional Development of Railway Operators, Results chain: Rails,,,,,,,
1055,Prioritized rail development and maintenance program developed (yes/no),,,5,Transportation,,n/a,"WB; Develop capacity to plan, finance and manage the railway sector; Institutional Development of Ministry/Regulator/Framework; Results chain: Rails",,,,,,,,,
1056,Integrated transport plan developed (yes/no),,,5,Transportation,,n/a,"WB; Develop capacity to plan, finance and manage the railway sector; Institutional Development of Ministry/Regulator/Framework; Results chain: Rails",,,,,,,,,
1057, Rail database developed and updated (yes/no),,,5,Transportation,,n/a,"WB; Develop capacity to plan, finance and manage the railway sector; Institutional Development of Ministry/Regulator/Framework; Results chain: Rails",,,,,,,,,
1058,"Staff trained in planning, budgeting, financing [specific areas ] (number)",,,5,Transportation,,n/a,"WB; Develop capacity to plan, finance and manage the railway sector; Institutional Development of Ministry/Regulator/Framework; Results chain: Rails",,,,,,,,,
1059,Plan for private sector engagement/ concession in rail service management (yes/no),,,5,Transportation,,n/a,"WB; Develop capacity to plan, finance and manage the railway sector; Institutional Development of Ministry/Regulator/Framework; Results chain: Rails",,,,,,,,,
1060,Corporatization plan developed (yes/no),,,5,Transportation,,n/a,"WB; Develop capacity to plan, finance and manage the railway sector; Institutional Development of Ministry/Regulator/Framework; Results chain: Rails",,,,,,,,,
1061,Regulatory framework developed (yes/no),,,5,Transportation,,n/a,"WB; Develop capacity to plan, finance and manage the railway sector; Institutional Development of Ministry/Regulator/Framework; Results chain: Rails",,,,,,,,,
1062,Rail sector strategies/policies adopted (yes/no),, Improved railway sector management,5,Transportation,,n/a,WB, Institutional Development of Ministry/Regulator/Framework, Results chain: Rails,,,,,,,
1063,Annual Sector plan targets achieved (yes/no),,,5,Transportation,,n/a,WB; Improved railway sector management; Institutional Development of Ministry/Regulator/Framework; Results chain: Rails,,,,,,,,,
1064,Sector investments achieved according to plan (yes/no),, Improved railway sector management,5,Transportation,,n/a,WB, Institutional Development of Ministry/Regulator/Framework, Results chain: Rails,,,,,,,
1065, Private Sector participation strategy adopted (yes/no),, Improved railway sector management,5,Transportation,,n/a,WB, Institutional Development of Ministry/Regulator/Framework, Results chain: Rails,,,,,,,
1066,"Private operators involved in railway service management (number, % of network under concession) ",, Improved railway sector management,5,Transportation,,n/a,WB, Institutional Development of Ministry/Regulator/Framework, Results chain: Rails,,,,,,,
1067,Average time reduction in selected segments (minutes),, Travel time reductions,4,Transportation,,n/a,WB, Increased railway connectivity, Results chain: Rails,,,,,,,
1068,Average transport time [between 2 specific points] (minutes),, Travel time reductions,4,Transportation,,n/a,WB, Increased railway connectivity, Results chain: Rails,,,,,,,
1069,Fares for passenger transport routes (LCU),, Travel cost reductions,4,Transportation,,n/a,WB, Increased railway connectivity, Results chain: Rails,,,,,,,
1070,Fares for goods transport routes (LCU),, Travel cost reductions,4,Transportation,,n/a,WB, Increased railway connectivity, Results chain: Rails,,,,,,,
1071,Urban or productive centers (such as mines) connected via rail (number),, Increased railway connectivity,4,Transportation,,n/a,WB, Results chain: Rails,,,,,,,,
1072,Transported passengers (number/ year),, Increased railway traffic,4,Transportation,,n/a,WB, Results chain: Rails,,,,,,,,
1073,Transported goods (tons/ year),,,4,Transportation,,n/a,WB; Increased railway traffic; Results chain: Rails,,,,,,,,,
1074,"Roads constructed, rural (km) ",, Construct main roads/feeder roads/urban roads,4,Transportation,,n/a,WB, Physical Infrastructure, Result chain: Roads,,,,,,,
1075,"Roads constructed, non rural (km) ",, Construct main roads/feeder roads/urban roads,4,Transportation,,n/a,WB, Physical Infrastructure, Result chain: Roads,,,,,,,
1076,"Roads rehabilitated ,rural (km) ",, Rehabilitate main roads/feeder roads/urban roads,4,Transportation,,n/a,WB, Physical Infrastructure, Result chain: Roads,,,,,,,
